"","Species","Pump_type","rpm","Control","State","Length","Weight","number_of_released_fish","number_of_released_fish_per_scenario","Number_Injuries","Injury_type_no","Injury_type_slight","Injury_type_severe","Injury_type_dead","number_recaptured","number_state_binom","percentage_state_test","min_state","max_state","Injury","Value","percentage_injury_test"
"1","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_1",48,0.96
"2","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_1",0,0
"3","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_1",1,0.0103092783505155
"4","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_1",1,0.0103092783505155
"5","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_1",43,0.977272727272727
"6","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_1",0,0
"7","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_1",4,0.036697247706422
"8","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_1",2,0.018348623853211
"9","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_1",42,0.933333333333333
"10","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_1",0,0
"11","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_1",230,0.938775510204082
"12","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_1",0,0
"13","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_1",45,0.957446808510638
"14","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_1",0,0
"15","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_1",242,0.906367041198502
"16","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_1",0,0
"17","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_1",70,0.736842105263158
"18","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_1",0,0
"19","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_1",151,0.441520467836257
"20","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_1",14,0.0409356725146199
"21","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_1",37,0.902439024390244
"22","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_1",0,0
"23","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_1",207,0.483644859813084
"24","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_1",11,0.0257009345794393
"25","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_2.1",0,0
"26","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_2.1",0,0
"27","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_2.1",0,0
"28","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_2.1",1,0.0103092783505155
"29","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_2.1",0,0
"30","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_2.1",0,0
"31","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_2.1",0,0
"32","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_2.1",0,0
"33","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_2.1",0,0
"34","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_2.1",0,0
"35","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_2.1",0,0
"36","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_2.1",0,0
"37","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_2.1",0,0
"38","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_2.1",0,0
"39","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_2.1",0,0
"40","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_2.1",0,0
"41","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_2.1",0,0
"42","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_2.1",0,0
"43","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_2.1",1,0.00292397660818713
"44","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_2.1",2,0.00584795321637427
"45","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_2.1",0,0
"46","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_2.1",0,0
"47","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_2.1",4,0.00934579439252336
"48","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_2.1",2,0.00467289719626168
"49","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_2.2",0,0
"50","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_2.2",0,0
"51","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_2.2",0,0
"52","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_2.2",0,0
"53","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_2.2",0,0
"54","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_2.2",0,0
"55","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_2.2",2,0.018348623853211
"56","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_2.2",0,0
"57","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_2.2",0,0
"58","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_2.2",0,0
"59","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_2.2",0,0
"60","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_2.2",0,0
"61","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_2.2",1,0.0212765957446809
"62","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_2.2",0,0
"63","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_2.2",0,0
"64","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_2.2",0,0
"65","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_2.2",0,0
"66","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_2.2",1,0.0105263157894737
"67","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_2.2",1,0.00292397660818713
"68","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_2.2",3,0.0087719298245614
"69","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_2.2",1,0.024390243902439
"70","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_2.2",0,0
"71","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_2.2",2,0.00467289719626168
"72","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_2.2",4,0.00934579439252336
"73","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_2.3",2,0.04
"74","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_2.3",0,0
"75","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_2.3",27,0.278350515463918
"76","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_2.3",24,0.247422680412371
"77","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_2.3",1,0.0227272727272727
"78","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_2.3",0,0
"79","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_2.3",16,0.146788990825688
"80","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_2.3",19,0.174311926605505
"81","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_2.3",3,0.0666666666666667
"82","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_2.3",0,0
"83","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_2.3",15,0.0612244897959184
"84","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_2.3",0,0
"85","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_2.3",1,0.0212765957446809
"86","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_2.3",0,0
"87","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_2.3",25,0.0936329588014981
"88","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_2.3",0,0
"89","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_2.3",22,0.231578947368421
"90","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_2.3",1,0.0105263157894737
"91","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_2.3",91,0.266081871345029
"92","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_2.3",58,0.169590643274854
"93","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_2.3",3,0.0731707317073171
"94","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_2.3",0,0
"95","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_2.3",85,0.198598130841121
"96","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_2.3",63,0.147196261682243
"97","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_3.1",0,0
"98","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_3.1",0,0
"99","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_3.1",0,0
"100","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_3.1",14,0.144329896907216
"101","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_3.1",0,0
"102","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_3.1",0,0
"103","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_3.1",0,0
"104","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_3.1",13,0.119266055045872
"105","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_3.1",0,0
"106","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_3.1",0,0
"107","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_3.1",0,0
"108","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_3.1",0,0
"109","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_3.1",0,0
"110","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_3.1",0,0
"111","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_3.1",0,0
"112","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_3.1",0,0
"113","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_3.1",0,0
"114","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_3.1",1,0.0105263157894737
"115","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_3.1",0,0
"116","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_3.1",30,0.087719298245614
"117","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_3.1",0,0
"118","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_3.1",0,0
"119","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_3.1",0,0
"120","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_3.1",37,0.0864485981308411
"121","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_3.2",0,0
"122","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_3.2",0,0
"123","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_3.2",0,0
"124","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_3.2",39,0.402061855670103
"125","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_3.2",0,0
"126","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_3.2",0,0
"127","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_3.2",0,0
"128","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_3.2",56,0.513761467889908
"129","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_3.2",0,0
"130","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_3.2",0,0
"131","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_3.2",0,0
"132","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_3.2",0,0
"133","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_3.2",0,0
"134","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_3.2",0,0
"135","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_3.2",0,0
"136","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_3.2",0,0
"137","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_3.2",0,0
"138","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_3.2",2,0.0210526315789474
"139","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_3.2",0,0
"140","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_3.2",3,0.0087719298245614
