"","Species","Pump_type","rpm","Control","State","Length","Weight","number_of_released_fish","number_of_released_fish_per_scenario","Number_Injuries","Injury_type_no","Injury_type_slight","Injury_type_severe","Injury_type_dead","number_recaptured","number_state_binom","percentage_state_test","min_state","max_state","Injury","Value","percentage_injury_test"
"141","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_3.2",0,0
"142","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_3.2",0,0
"143","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_3.2",0,0
"144","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_3.2",22,0.0514018691588785
"145","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_3.3",0,0
"146","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_3.3",0,0
"147","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_3.3",0,0
"148","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_3.3",0,0
"149","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_3.3",0,0
"150","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_3.3",0,0
"151","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_3.3",0,0
"152","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_3.3",0,0
"153","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_3.3",0,0
"154","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_3.3",0,0
"155","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_3.3",0,0
"156","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_3.3",0,0
"157","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_3.3",0,0
"158","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_3.3",0,0
"159","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_3.3",0,0
"160","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_3.3",0,0
"161","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_3.3",0,0
"162","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_3.3",0,0
"163","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_3.3",0,0
"164","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_3.3",0,0
"165","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_3.3",0,0
"166","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_3.3",0,0
"167","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_3.3",0,0
"168","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_3.3",0,0
"169","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_3.4",0,0
"170","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_3.4",0,0
"171","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_3.4",0,0
"172","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_3.4",0,0
"173","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_3.4",0,0
"174","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_3.4",0,0
"175","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_3.4",0,0
"176","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_3.4",1,0.00917431192660551
"177","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_3.4",0,0
"178","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_3.4",0,0
"179","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_3.4",0,0
"180","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_3.4",0,0
"181","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_3.4",0,0
"182","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_3.4",0,0
"183","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_3.4",0,0
"184","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_3.4",0,0
"185","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_3.4",0,0
"186","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_3.4",0,0
"187","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_3.4",0,0
"188","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_3.4",0,0
"189","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_3.4",0,0
"190","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_3.4",0,0
"191","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_3.4",0,0
"192","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_3.4",0,0
"193","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_3.5",0,0
"194","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_3.5",0,0
"195","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_3.5",0,0
"196","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_3.5",10,0.103092783505155
"197","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_3.5",0,0
"198","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_3.5",0,0
"199","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_3.5",0,0
"200","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_3.5",13,0.119266055045872
"201","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_3.5",0,0
"202","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_3.5",0,0
"203","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_3.5",0,0
"204","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_3.5",0,0
"205","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_3.5",0,0
"206","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_3.5",0,0
"207","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_3.5",0,0
"208","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_3.5",0,0
"209","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_3.5",0,0
"210","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_3.5",0,0
"211","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_3.5",0,0
"212","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_3.5",16,0.0467836257309941
"213","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_3.5",0,0
"214","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_3.5",0,0
"215","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_3.5",0,0
"216","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_3.5",29,0.0677570093457944
"217","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_3.6",0,0
"218","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_3.6",0,0
"219","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_3.6",0,0
"220","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_3.6",17,0.175257731958763
"221","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_3.6",0,0
"222","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_3.6",0,0
"223","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_3.6",0,0
"224","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_3.6",22,0.201834862385321
"225","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_3.6",0,0
"226","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_3.6",0,0
"227","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_3.6",0,0
"228","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_3.6",0,0
"229","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_3.6",0,0
"230","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_3.6",0,0
"231","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_3.6",0,0
"232","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_3.6",0,0
"233","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_3.6",0,0
"234","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_3.6",1,0.0105263157894737
"235","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_3.6",0,0
"236","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_3.6",12,0.0350877192982456
"237","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_3.6",0,0
"238","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_3.6",0,0
"239","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_3.6",0,0
"240","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_3.6",28,0.0654205607476635
"241","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_3.7",0,0
"242","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_3.7",0,0
"243","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_3.7",0,0
"244","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_3.7",0,0
"245","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_3.7",0,0
"246","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_3.7",0,0
"247","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_3.7",0,0
"248","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_3.7",0,0
"249","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_3.7",0,0
"250","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_3.7",0,0
"251","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_3.7",0,0
"252","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_3.7",0,0
"253","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_3.7",0,0
"254","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_3.7",0,0
"255","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_3.7",0,0
"256","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_3.7",0,0
"257","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_3.7",0,0
"258","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_3.7",0,0
"259","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_3.7",0,0
"260","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_3.7",0,0
"261","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_3.7",0,0
"262","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_3.7",0,0
"263","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_3.7",0,0
"264","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_3.7",0,0
"265","bream","F/N","468","control","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,100,100,"Class_4",0,0
"266","bream","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,50,0,0,0,0,"Class_4",0,0
"267","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,155,155,1,1,27,0,0,97,28,29,17,52,"Class_4",0,0
"268","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83,"Class_4",6,0.0618556701030928
"269","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,100,100,"Class_4",0,0
"270","bream","F/N","550","control","Dead",NA,NA,45,NA,NA,0,0,0,0,44,0,0,0,0,"Class_4",0,0
"271","bream","F/N","550","pump","Alive",361.8,874.466666666667,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23,"Class_4",0,0
"272","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86,"Class_4",0,0
"273","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,100,100,"Class_4",0,0
"274","eel","F/N","468","control","Dead",NA,NA,50,NA,NA,0,0,0,0,45,0,0,0,0,"Class_4",0,0
"275","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,300,300,1,230,15,0,0,245,245,100,100,100,"Class_4",0,0
"276","eel","F/N","468","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,245,0,0,0,0,"Class_4",0,0
"277","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,100,100,"Class_4",0,0
"278","eel","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,47,0,0,0,0,"Class_4",0,0
"279","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,300,300,1,242,25,0,0,267,267,100,100,100,"Class_4",0,0
"280","eel","F/N","550","pump","Dead",NA,NA,300,NA,NA,0,0,0,0,267,0,0,0,0,"Class_4",0,0
"281","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,100,100,1,70,22,0,0,95,92,97,94,100,"Class_4",0,0
"282","roach","F/N","468","control","Dead",178,93.7,100,100,2,0,0,3,0,95,3,3,0,6,"Class_4",0,0
"283","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,600,433.333333333333,1,151,93,0,0,342,244,71,64,76,"Class_4",0,0
"284","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36,"Class_4",10,0.0292397660818713
"285","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,100,100,"Class_4",0,0
"286","roach","F/N","550","control","Dead",NA,NA,50,NA,NA,0,0,0,0,41,0,0,0,0,"Class_4",0,0
"287","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76,"Class_4",0,0
"288","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39,"Class_4",21,0.0490654205607477
